Country Name,Country Code,Indicator Name,Indicator Code,1995,2000,2005,2010,2014
East Asia & Pacific,EAS,"Natural capital, subsoil assets, minerals: gold (constant 2014 US$)",NW.NCA.MGOL.TO,30430827990,23118245336,60628494584,2.19E+11,3.31E+11
East Asia & Pacific,EAS,"Natural capital, subsoil assets, minerals: iron ore (constant 2014 US$)",NW.NCA.MIRO.TO,1.03E+11,1.61E+11,4.81E+11,2.64E+12,3.37E+12
East Asia & Pacific,EAS,"Natural capital, subsoil assets, minerals: lead (constant 2014 US$)",NW.NCA.MLEA.TO,311679731.4,1517360785,5078691210,44283697217,44239142762
East Asia & Pacific,EAS,"Natural capital, subsoil assets, minerals: nickel (constant 2014 US$)",NW.NCA.MNIC.TO,10317746300,16846915468,72055447964,2.15E+11,1.89E+11
East Asia & Pacific,EAS,"Natural capital, subsoil assets, minerals: phosphate (constant 2014 US$)",NW.NCA.MPHO.TO,0,0,0,1.54E+11,1.78E+11
East Asia & Pacific,EAS,"Natural capital, subsoil assets, minerals: silver (constant 2014 US$)",NW.NCA.MSIL.TO,0,0,0,0,8365124306
East Asia & Pacific,EAS,"Natural capital, subsoil assets, minerals: tin (constant 2014 US$)",NW.NCA.MTIN.TO,0,0,0,838010672.3,5506842158
East Asia & Pacific,EAS,"Natural capital, subsoil assets, minerals: zinc (constant 2014 US$)",NW.NCA.MZIN.TO,2511349105,3752536784,2806589476,99794362347,38452080346
East Asia & Pacific,EAS,"Natural capital, subsoil assets: coal (constant 2014 US$)",NW.NCA.SACO.TO,1.59E+11,81872995501,1.17E+12,4.01E+12,3.88E+12
East Asia & Pacific,EAS,"Natural capital, subsoil assets: gas (constant 2014 US$)",NW.NCA.SAGA.TO,57148677032,48692785905,1.34E+11,2.67E+11,3.31E+11
East Asia & Pacific,EAS,"Natural capital, subsoil assets: minerals (constant 2014 US$)",NW.NCA.MINR.TO,2.85E+11,3.39E+11,8.51E+11,3.92E+12,4.64E+12
East Asia & Pacific,EAS,"Natural capital, subsoil assets: oil (constant 2014 US$)",NW.NCA.SAOI.TO,6.38E+11,6.71E+11,1.07E+12,1.58E+12,1.59E+12
East Asia & Pacific,EAS,Net foreign assets (constant 2014 US$),NW.NFA.TO,-5.06E+11,1.94E+11,1.43E+12,3.38E+12,3.83E+12
East Asia & Pacific,EAS,Net foreign assets per capita (constant 2014 US$),NW.NFA.PC,-275.2712196,100.2351088,707.4002638,1618.619635,1783.937613
East Asia & Pacific,EAS,Produced capital (constant 2014 US$),NW.PCA.TO,2.77E+13,3.62E+13,4.81E+13,6.59E+13,8.41E+13
East Asia & Pacific,EAS,Produced capital per capita (constant 2014 US$),NW.PCA.PC,15049.75267,18672.46603,23823.78805,31541.4749,39184.55898
East Asia & Pacific,EAS,Total wealth (constant 2014 US$),NW.TOW.TO,1.40E+14,1.62E+14,1.81E+14,2.47E+14,3.00E+14
East Asia & Pacific,EAS,Total wealth per capita (constant 2014 US$),NW.TOW.PC,76101.89666,83617.51967,89772.76589,117982.6315,140041.7211
East Asia & Pacific (low and middle income),EAP,Human capital (constant 2014 US$),NW.HCA.TO,3.42E+13,4.21E+13,4.56E+13,7.84E+13,1.04E+14
East Asia & Pacific (low and middle income),EAP,Human capital per capita (constant 2014 US$),NW.HCA.PC,20770.86674,24193.35784,25085.77592,41612.11387,53387.0454
East Asia & Pacific (low and middle income),EAP,Natural capital (constant 2014 US$),NW.NCA.TO,9.42E+12,1.10E+13,1.48E+13,2.30E+13,2.67E+13
East Asia & Pacific (low and middle income),EAP,Natural capital per capita (constant 2014 US$),NW.NCA.PC,5721.769816,6330.004634,8165.884541,12177.25803,13771.65764
East Asia & Pacific (low and middle income),EAP,"Natural capital per capita, agricultural land (constant 2014 US$)",NW.NCA.AGRI.PC,3950.210003,4674.46655,5544.106588,6795.38963,8140.032844
